IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
1,The Shawshank Redemption,26 October 1995 (Hong Kong),Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",9.3,"2,020,306","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
2,The Godfather,11 October 1973 (Hong Kong),Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",9.2,"1,384,483",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
3,The Godfather: Part II,6 November 1975 (Hong Kong),Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",9,"958,825","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
4,The Dark Knight,17 July 2008 (Hong Kong),Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",9,"1,988,160","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,12 Angry Men,April 1957 (USA),Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",8.9,"566,857",A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.
6,Schindler's List,17 March 1994 (Hong Kong),Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",8.9,"1,043,086","In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans."
7,The Lord of the Rings: The Return of the King,18 December 2003 (Hong Kong),Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",8.9,"1,437,868",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
8,Pulp Fiction,23 March 1995 (Hong Kong),Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",8.9,"1,577,016","The lives of two mob hitmen, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,"Il buono, il brutto, il cattivo",13 June 1968 (Hong Kong),Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",8.9,"598,843",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
10,Fight Club,11 November 1999 (Hong Kong),David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",8.8,"1,616,256","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
11,The Lord of the Rings: The Fellowship of the Ring,31 January 2002 (Hong Kong),Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",8.8,"1,454,573",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Forrest Gump,15 December 1994 (Hong Kong),Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",8.8,"1,539,893","The presidencies of Kennedy and Johnson, Vietnam, Watergate, and other history unfold through the perspective of an Alabama man with an IQ of 75."
13,Star Wars: Episode V - The Empire Strikes Back,8 August 1980 (Hong Kong),Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",8.8,"1,014,307","After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader."
14,Inception,29 July 2010 (Hong Kong),Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",8.8,"1,768,081",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
15,The Lord of the Rings: The Two Towers,9 January 2003 (Hong Kong),Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",8.7,"1,299,880","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,One Flew Over the Cuckoo's Nest,10 June 1976 (Hong Kong),Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson",8.7,"802,441",A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.
17,Goodfellas,1 November 1990 (Hong Kong),Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",8.7,"870,731","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
18,The Matrix,31 March 1999 (USA),Lana Wachowski,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",8.7,"1,449,349",A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.
19,Shichinin no samurai,26 April 1954 (Japan),Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",8.7,"273,335",A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
20,Cidade de Deus,8 May 2003 (Hong Kong),Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",8.6,"623,858","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
21,Se7en,22 September 1995 (USA),David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",8.6,"1,235,096","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
