IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
72,Citizen Kane,24 February 1950 (Hong Kong),Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore",8.4,"352,484","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance."
73,Braveheart,24 May 1995 (USA),Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan",8.4,"867,521","When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England."
74,Vertigo,23 April 1959 (Hong Kong),Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes",8.3,"307,954",A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.
75,North by Northwest,12 November 1959 (Hong Kong),Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason",8.3,"262,472","A hapless New York City advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive."
76,Reservoir Dogs,2 September 1992 (France),Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen",8.3,"794,284",A crime boss assembles a team of six experienced criminals to pull off a large jewellery heist.
77,Star Wars: Episode VI - Return of the Jedi,1 July 1983 (Hong Kong),Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher",8.3,"832,282","After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap."
78,M - Eine Stadt sucht einen Mörder,31 August 1931 (Sweden),Fritz Lang,"Peter Lorre, Ellen Widmann, Inge Landgut",8.3,"122,351","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
79,Kimi no na wa.,11 November 2016 (Hong Kong),Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita",8.4,"114,090","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
80,Dangal,31 August 2017 (Hong Kong),Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh",8.5,"109,100",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
81,Amadeus,13 June 1985 (Hong Kong),Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge",8.3,"325,375","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporary composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
82,Requiem for a Dream,22 March 2001 (Hong Kong),Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly",8.3,"678,696",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
83,Taare Zameen Par,21 December 2007 (India),Aamir Khan,"Darsheel Safary, Aamir Khan, Tisca Chopra",8.4,"132,255","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
84,Lawrence of Arabia,11 December 1962 (UK),David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn",8.3,"233,383","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
85,Eternal Sunshine of the Spotless Mind,13 May 2004 (Hong Kong),Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson",8.3,"796,730","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
