FilmName,enFID,BoxOffice
闺蜜2,629372,6434.0
桂宝之爆笑闯宇宙,637786,6428.0
疯岳撬佳人,660155,6386.0
明月几时有,642915,6342.0
女汉子真爱公式,637664,6338.0
人间·喜剧,659574,6325.0
英雄本色2018,663226,6307.0
一代宗师3D,629493,6302.0
亲爱的新年好,694996,6276.0
陪安东尼度过漫长岁月,629335,6265.0
超级快递,637633,6195.0
剩者为王,618352,6149.0
刺客聂隐娘,7954,6141.0
外公芳龄38,627541,6042.0
新灰姑娘,682164,6022.0
合约男女,654608,5952.0
古田军号,638273,5866.0
特警队,681876,5717.0
从天“儿”降,630582,5663.0
赛尔号5：雷神崛起,630555,5662.0
碟仙,692791,5626.0
巨额来电,663013,5581.0
师父,628326,5490.0
秀美人生,699989,5456.0
这就是命,669804,5440.0
暴裂无声,668536,5426.0
快手枪手快枪手,643909,5419.0
过年好,642644,5405.0
恋爱中的城市,629580,5365.0
海底小纵队：火焰之环,700662,5326.0
荞麦疯长,673894,5218.0
妈阁是座城,685947,5199.0
狗十三,619583,5131.0
太平轮：彼岸,630468,5105.0
遇见你真好,662641,5101.0
没有过不去的年,684420,5079.0
少年班,627027,5069.0
断片之险途夺宝,666460,5049.0
昆塔：反转星球,618949,5041.0
吹哨人,677003,5032.0
引爆者,643292,5024.0
既然青春留不住,628823,5020.0
阿修罗,628633,4984.0
杜拉拉追婚记,638989,4972.0
谜巢,661934,4950.0
你是凶手,643307,4899.0
地球：神奇的一天,641537,4778.0
奔爱,631748,4752.0
华丽上班族,615796,4751.0
海林都,694774,4725.0
爸，我一定行的,674343,4707.0
坏蛋必须死,630935,4705.0
圣诞大赢家,641422,4697.0
常在你左右,662474,4684.0
暴疯语,613404,4676.0
潜艇总动员5：时光宝盒,638443,4674.0
猪猪侠之英雄猪少年,659022,4598.0
猪猪侠之终极决战,638407,4549.0
地久天长,673016,4527.0
动物特工局,679292,4516.0
喵星人,643813,4476.0
钢铁飞龙之奥特曼崛起,676520,4467.0
铤而走险,681863,4433.0
我们的十年,628417,4409.0
大耳朵图图之美食狂想曲,629490,4329.0
冰河追凶,629520,4321.0
十月初五的月光,630111,4262.0
我的女友是机器人,694980,4246.0
真相禁区,638630,4204.0
一生有你2019,630295,4189.0
解放·终局营救,685446,4177.0
宅女侦探桂香,628144,4137.0
钢铁飞龙之再见奥特曼,617390,4073.0
李雷和韩梅梅,611496,4072.0
毒。诫,639686,4025.0
摇滚藏獒,589485,3965.0
将错就错,630911,3937.0
卧底巨星,668959,3927.0
跳舞吧！大象,665027,3916.0
巴啦啦小魔仙之魔箭公主,638879,3828.0
妈妈咪鸭,670904,3809.0
战神纪,643724,3808.0
大闹西游,675234,3792.0
我最好朋友的婚礼,638742,3745.0
有完没完,653966,3742.0
神探驾到,630506,3741.0
我是你妈,671362,3682.0
那件疯狂的小事叫爱情,643749,3659.0
我的战争,628658,3648.0
天亮之前,627864,3641.0
冲天火,652864,3617.0
猪猪侠·不可思议的世界,680591,3612.0
蒸发太平洋,629996,3505.0
脱单告急,643903,3502.0
低压槽：欲望之城,661851,3491.0
那年夏天你去了哪里,656433,3469.0
年兽大作战,637947,3451.0
冰封侠:时空行者,616870,3450.0
红星照耀中国,679334,3438.0
我的新野蛮女友,629147,3419.0
勇士,656434,3322.0
夜孔雀,615789,3318.0
黑白迷宫,661850,3311.0
大唐玄奘,638623,3304.0
重返·狼群,613847,3299.0
家和万事惊,685259,3270.0
麻烦家族,658346,3233.0
山河故人,627766,3226.0
新步步惊心,628171,3221.0
玩偶奇兵,640824,3171.0
赛尔号大电影7：疯狂机器城,681843,3149.0
青禾男高,663007,3041.0
阿唐奇遇,644456,3040.0
奇葩朵朵,640887,3021.0
土豪520,628375,3014.0
秦明·生死语者,671915,2995.0
兔侠之青黎传说,630484,2973.0
送我上青云,673052,2954.0
2019阅兵盛典,702792,2951.0
烽火芳菲,594269,2944.0
恐龙王,681602,2862.0
月半爱丽丝,684769,2852.0
照相师,675139,2844.0
周恩来回延安,692046,2831.0
雪暴,681192,2822.0
金龟子,655654,2778.0
一万年以后,631062,2778.0
恶人报喜,630691,2754.0
“吃吃”的爱,630645,2750.0
暴雪将至,669160,2714.0
三只小猪2,664833,2696.0
赤焰,659727,2685.0
大路朝天,675900,2664.0
长安道,681430,2629.0
一切都好,639519,2623.0
二次初恋,666143,2614.0
封门诡影,615868,2582.0
功夫,629956,2560.0
忠爱无言,656460,2555.0
抵达之谜,654391,2539.0
天道王,701783,2529.0
血狼犬,641928,2519.0
精灵王座,630554,2511.0
完美有多美,656491,2503.0
宝贝儿,629824,2472.0
小巷管家,695042,2469.0
龙在哪里?,639128,2462.0
我的拳王男友,673137,2458.0
暴走神探,618610,2456.0
坏爸爸,667840,2448.0
白幽灵传奇之绝命逃亡,614395,2433.0
天生不对,640112,2429.0
武汉日夜,702283,2425.0
深夜食堂,667169,2423.0
巧虎大飞船历险记,672992,2409.0
潜艇总动员：外星宝贝计划,685416,2399.0
三只小猪与神灯,630556,2382.0
整形师·脸,642660,2375.0
如影随心,667814,2369.0
疯狂丑小鸭,638973,2341.0
勇士之门,626571,2284.0
嘉年华,669767,2261.0
一个勺子,627038,2253.0
素人特工,663018,2248.0
打过长江去,695206,2238.0
